Date,Hour,Occupation,Energy consumption [kwh],Week_day,Month
2018-01-15,12,0.0,500.7500000001746,Monday,January
2018-01-15,13,0.0,483.04000000000815,Monday,January
2018-01-15,14,0.0,469.3900000001886,Monday,January
2018-01-15,15,24.0,456.94999999998254,Monday,January
2018-01-15,16,24.0,453.6199999998207,Monday,January
2018-01-15,17,0.0,429.38999999998487,Monday,January
2018-01-15,18,0.0,410.21999999982654,Monday,January
2018-01-15,19,0.0,347.93000000037136,Monday,January
2018-01-15,20,0.0,241.4200000000128,Monday,January
2018-01-15,21,0.0,216.63999999998487,Monday,January
2018-01-15,22,0.0,198.61999999982072,Monday,January
2018-01-15,23,0.0,191.58999999982188,Monday,January
2018-01-16,0,0.0,193.37000000016997,Tuesday,January
2018-01-16,1,0.0,194.95999999981723,Tuesday,January
2018-01-16,2,0.0,194.19000000000233,Tuesday,January
2018-01-16,3,0.0,193.87000000019907,Tuesday,January
2018-01-16,4,0.0,195.13999999998487,Tuesday,January
2018-01-16,5,0.0,220.86000000001513,Tuesday,January
2018-01-16,6,0.0,323.0199999999895,Tuesday,January
2018-01-16,7,0.0,353.9999999997963,Tuesday,January
2018-01-16,8,0.0,393.9800000000105,Tuesday,January
2018-01-16,9,0.0,435.34000000037486,Tuesday,January
2018-01-16,10,0.0,471.0499999996391,Tuesday,January
2018-01-16,11,0.0,522.4700000000012,Tuesday,January
2018-01-16,12,0.0,496.8900000001886,Tuesday,January
2018-01-16,13,0.0,469.1699999999837,Tuesday,January
2018-01-16,14,0.0,480.0099999998056,Tuesday,January
2018-01-16,15,0.0,487.9000000001979,Tuesday,January
2018-01-16,16,0.0,463.27999999999884,Tuesday,January
2018-01-16,17,0.0,417.9400000000023,Tuesday,January
2018-01-16,18,0.0,397.86999999999534,Tuesday,January
2018-01-16,19,0.0,343.71999999982654,Tuesday,January
2018-01-16,20,0.0,233.61000000018976,Tuesday,January
2018-01-16,21,0.0,214.8599999998114,Tuesday,January
2018-01-16,22,0.0,203.06999999997788,Tuesday,January
2018-01-16,23,0.0,195.71000000019558,Tuesday,January
2018-01-17,0,0.0,194.09000000020023,Wednesday,January
2018-01-17,1,0.0,190.1799999997893,Wednesday,January
2018-01-17,2,0.0,192.40000000002328,Wednesday,January
2018-01-17,3,0.0,194.4099999999744,Wednesday,January
2018-01-17,4,0.0,192.04000000021188,Wednesday,January
2018-01-17,5,0.0,222.72999999960302,Wednesday,January
2018-01-17,6,0.0,345.37000000019907,Wednesday,January
2018-01-17,7,0.0,354.5,Wednesday,January
2018-01-17,8,0.0,434.6700000000128,Wednesday,January
2018-01-17,9,0.0,455.9199999999837,Wednesday,January
2018-01-17,10,0.0,477.7600000000093,Wednesday,January
2018-01-17,11,0.0,497.5400000001828,Wednesday,January
2018-01-17,12,0.0,483.9599999996135,Wednesday,January
2018-01-17,13,0.0,484.92000000018743,Wednesday,January
2018-01-17,14,0.0,466.4000000000233,Wednesday,January
2018-01-17,15,24.0,476.2599999998056,Wednesday,January
2018-01-17,16,24.0,458.2299999999814,Wednesday,January
2018-01-17,17,24.0,421.10000000038417,Wednesday,January
2018-01-17,18,0.0,417.4299999998184,Wednesday,January
2018-01-17,19,0.0,352.8599999998114,Wednesday,January
2018-01-17,20,0.0,237.68000000037136,Wednesday,January
2018-01-17,21,0.0,217.619999999617,Wednesday,January
2018-01-17,22,0.0,198.27000000039698,Wednesday,January
2018-01-17,23,0.0,191.34999999997672,Wednesday,January
2018-01-18,0,0.0,191.7600000000093,Thursday,January
2018-01-18,1,0.0,191.0999999998021,Thursday,January
2018-01-18,2,0.0,190.43000000019674,Thursday,January
2018-01-18,3,0.0,193.33999999961816,Thursday,January
2018-01-18,4,0.0,192.6700000000128,Thursday,January
2018-01-18,5,0.0,214.71000000019558,Thursday,January
2018-01-18,6,0.0,328.2399999999907,Thursday,January
2018-01-18,7,0.0,358.5799999999872,Thursday,January
2018-01-18,8,0.0,446.9800000000105,Thursday,January
2018-01-18,9,0.0,459.7099999998172,Thursday,January
2018-01-18,10,0.0,479.59000000017113,Thursday,January
2018-01-18,11,0.0,491.7900000002119,Thursday,January
2018-01-18,12,0.0,464.40999999979977,Thursday,January
2018-01-18,13,0.0,451.71999999982654,Thursday,January
2018-01-18,14,0.0,461.0600000001723,Thursday,January
2018-01-18,15,24.0,485.2899999998044,Thursday,January
2018-01-18,16,24.0,444.7900000003865,Thursday,January
2018-01-18,17,0.0,409.0499999996391,Thursday,January
2018-01-18,18,0.0,380.1600000001781,Thursday,January
2018-01-18,19,0.0,330.2399999999907,Thursday,January
2018-01-18,20,0.0,325.67096999983,Thursday,January
2018-01-18,21,0.0,203.40000000037253,Thursday,January
2018-01-18,22,0.0,183.3299999999872,Thursday,January
2018-01-18,23,0.0,182.39000000001397,Thursday,January
2018-01-19,0,0.0,181.2899999996007,Friday,January
2018-01-19,1,0.0,180.6200000003737,Friday,January
2018-01-19,2,0.0,179.5199999998149,Friday,January
2018-01-19,3,0.0,181.21000000002095,Friday,January
2018-01-19,4,0.0,181.42000000018743,Friday,January
2018-01-19,5,0.0,204.94000000000233,Friday,January
2018-01-19,6,0.0,323.04999999998836,Friday,January
2018-01-19,7,0.0,343.63999999981024,Friday,January
2018-01-19,8,0.0,343.78000000017346,Friday,January
2018-01-19,9,0.0,335.73999999981606,Friday,January
2018-01-19,10,0.0,363.1099999998114,Friday,January
2018-01-19,11,0.0,442.5900000000256,Friday,January
2018-01-19,12,0.0,410.27000000016415,Friday,January
2018-01-19,13,0.0,412.4200000000128,Friday,January
2018-01-19,14,0.0,410.2600000000093,Friday,January
2018-01-19,15,0.0,421.5399999998044,Friday,January
2018-01-19,16,0.0,400.32000000035623,Friday,January
